Name,LinkedIn URL,Current Role,Organization,Location,Why Lookalike
Jean-Bernard Moix,https://www.linkedin.com/in/jean-bernard-moix-b66b1318/,Directeur,Promotion Santé Valais,Valais,"Director of cantonal health promotion organization — public health leadership in Suisse romande"
Gilles Crettenand,https://www.linkedin.com/in/gilles-crettenand-7331691b/,Directeur général,Addiction Valais,Valais,"General director of a cantonal health/social institution in Suisse romande"
Jean-Louis Zufferey,https://www.linkedin.com/in/jeanlouiszufferey/,Directeur EMS / économiste,EMS (multiple),Valais,"EMS director with economics background — healthcare institution leadership in Suisse romande"
Estelle Jacquin-Sermier,https://ch.linkedin.com/in/estelle-jacquin-sermier-2400,Directrice d'EMS multisite,EMS (multiple sites),Switzerland,"Multi-site medico-social institution director — healthcare management leadership"
Catherine Dorogi,https://ch.linkedin.com/in/catherine-dorogi-56020367,Directrice,Fondation Rive-Neuve,Vaud,"Director of a major palliative care foundation in Vaud — health/social sector leadership"
Arnaud Vallat,https://www.linkedin.com/in/arnaud-vallat-49561831/,Directeur adjoint des ressources humaines,Hôpital Riviera-Chablais,Vaud-Valais,"Deputy HR director at a major regional hospital — healthcare institution management"
Vincent Adatte,https://www.linkedin.com/in/vadatte/,Directeur opérationnel,CHUV,Lausanne,"Operational director at Switzerland's major university hospital — senior healthcare leadership"
Yves Gisiger,https://www.linkedin.com/in/yves-gisiger-37b54734/,COO Suisse Romande,Medisupport,Neuchâtel,"COO of healthcare services company in Suisse romande"
Eric Bonvin,https://ch.linkedin.com/in/eric-bonvin-0b4342158,Leadership role,Hôpital du Valais / Université de Lausanne,Valais,"Hospital leadership combined with university affiliation — healthcare + education"
Anne Lévy,https://www.linkedin.com/in/anne-lévy/,Direktorin,Bundesamt für Gesundheit BAG (OFSP),Bern,"Director of Switzerland's Federal Office of Public Health — top national public health leadership"
Luc Jeanrenaud,https://www.linkedin.com/in/luc-jeanrenaud-320570149/,Directeur de la formation,HESAV (Haute Ecole de Santé Vaud),Vaud,"Director of education at a leading health education institution — formation + santé"
Fabien Thétaz,https://www.linkedin.com/in/fthetaz/,Adjoint de direction,HESAV (Haute Ecole de Santé Vaud),Vaud,"Deputy director at health education institution — formation + santé in Suisse romande"
Serge Behar,https://www.linkedin.com/in/serge-behar-a06b0314/,Professionnel de la formation / Directeur d'institution,Independent,Vaud,"20+ years in adult education and coaching — formation d'adultes like Pétremand's CAS background"
Julien Vulliet,https://www.linkedin.com/in/julien-vulliet-90901a59/,Directeur d'établissements spécialisés et de l'intégration,Specialized institutions,Geneva,"Director of specialized social/health institutions — social sector leadership in Suisse romande"
Laurent Wehrli,https://ch.linkedin.com/in/laurent-wehrli-860ab428,Président,Pro Senectute Vaud / CURAVIVA,Vaud,"President of major social/health organizations — combines political experience with health/social sector governance"
Richoz Monique,https://www.linkedin.com/in/richoz-monique-20358080/,Directrice cantonale,Pro Infirmis,Lausanne,"Cantonal director of a major disability services organization — social sector leadership"
Bastien Christinet,https://www.linkedin.com/in/bastien-christinet/,Responsable de missions et coordination,Direction générale de la santé - Etat de Vaud,Vaud,"Strategic coordination role in cantonal public health — similar institutional environment"
Caroline Knupfer,https://www.linkedin.com/in/caroline-knupfer-557a3a7/,Senior role,DSAS Canton de Vaud,Lausanne,"Senior position in the Department of Health and Social Action — health policy leadership"
Jean-Philippe Galloni d'Istria,https://www.linkedin.com/in/jean-philippe-galloni-d-istria-398376139/,Chargé de missions stratégiques,Direction générale de la santé - Etat de Vaud,Vaud,"Strategic missions in cantonal public health directorate"
Chantal Grandchamp,https://www.linkedin.com/in/chantalgrandchamp/,Adjointe de direction,Unisanté,Lausanne,"Deputy director at the university center for public health and general medicine"
Christine Hislaire Kammermann,https://ch.linkedin.com/in/christine-hislaire-kammermann-38b82264,Directrice service santé numérique / ex-Secrétaire générale DCS,Etat de Genève,Geneva,"Senior cantonal health/social policy leader in Geneva — combines health and social cohesion"
Cyrille Pernot,https://www.linkedin.com/in/cyrille-pernot/,Consultant et enseignant en stratégie d'influence / Politique de santé publique,Independent,France/Switzerland,"Health policy consultant and educator — strategic consulting in healthcare like Pétremand's NEP Conseils"
Beat Haldemann,https://www.linkedin.com/in/beathaldemann/,Responsable du système d'information de la DGS,Etat de Vaud,Vaud,"Senior role in cantonal health directorate — digital health transformation leadership"
Sébastien Martin-Achard,https://www.linkedin.com/in/sebastien-martin-achard/,Consultant santé publique,Vulkain Consulting,Lausanne,"Public health consultant in Lausanne area — consulting + health sector expertise"
Christophe Berthiaud,https://www.linkedin.com/in/christophe-berthiaud-b53768119/,Directeur,Institut Suisse de Formation Sécurité (ISFS),Geneva,"Director of a Swiss training institute — institutional leadership in professional education"
Pascal Braichet,https://www.linkedin.com/in/pascal-braichet-4b511471/,Directeur de site,Social services institution,La Chaux-de-Fonds,"Director of social services — social sector institutional leadership in Suisse romande"
Fabio Fagagnini,https://www.linkedin.com/in/fabio-fagagnini/,CEO,Healthcare Holding Schweiz AG,Zurich,"CEO of a Swiss healthcare holding company — strategic healthcare leadership"
Philippe Francois,https://www.linkedin.com/in/philippe-francois-576889/,Senior role,Management Sciences for Health,Switzerland,"Healthcare management professional in Switzerland"
Adrian Hunn,https://www.linkedin.com/in/adrian-hunn-executive/,Executive role,Swiss Medtech,Switzerland,"Executive in Swiss medical technology sector — healthcare industry leadership"
Damien Métrailler,https://www.linkedin.com/in/damien-métrailler-51000421a/,Directeur général,Orif,Valais,"General director of Orif — the Romandy organization for professional integration and training in health/social"
Lisa Raval,https://www.linkedin.com/in/lisa-raval-42a7014b/,Secrétaire générale,CURAVIVA Jura,Jura,"Secretary general of CURAVIVA cantonal section — medico-social sector governance"
Laure Cayzergues,https://www.linkedin.com/in/cayzergues-laure/,Médecin cantonal adjoint,Service de la santé publique,Valais,"Deputy cantonal physician — cantonal public health leadership"
Anne Clausen,https://www.linkedin.com/in/anne-clausen-5a129a1b3/,Responsable Pôle Prévention et solidarités,DGCS - Etat de Vaud,Vaud,"Prevention and solidarity lead in cantonal social cohesion directorate — health/social policy"
Giovanna Panese,https://www.linkedin.com/in/giovannapanese/,Chargée de projet Vieillir2030,DGCS - Canton de Vaud,Vaud,"Cantonal aging policy project lead — health/social policy at cantonal level"
Jean-François Pasche,https://www.linkedin.com/in/jean-françois-pasche-58363842/,Direction,Fondation Silo,Vaud,"Foundation director in the medico-psycho-social sector in Vaud"
François Décaillet,https://www.linkedin.com/in/françois-décaillet-99b6b580/,Membre du conseil,Fondation Soins Lausanne,Lausanne,"Board member of major healthcare foundation — governance in health sector"
Olivier Favre,https://www.linkedin.com/in/olivier-favre-5084489/,Directeur Division sécurité au travail Suisse romande,Suva,Switzerland,"Director of occupational health/safety for Suisse romande — health sector leadership + training expertise"
Besson Pascal,https://www.linkedin.com/in/besson-pascal-14b23716/,Role at H+,H+ Die Spitäler der Schweiz (Les Hôpitaux de Suisse),Switzerland,"Works at H+ (the shareholder of Espace Compétences) — direct organizational connection"
Hugues Lajoie,https://www.linkedin.com/in/hugues-lajoie-7027491b/,Directeur Général / Manager de Transition,Independent (médico-social sector),Switzerland,"General director and transition manager in the medico-social sector — strategic consulting + healthcare"
Alessandro Cassini,https://www.linkedin.com/in/alessandro-cassini-9b89419/,Senior role in public health,Etat de Genève,Geneva,"Public health leadership at cantonal level in Geneva"
